uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
AP,1600535,PORTO GRANDE,20143,20611,2.32%,NÃO,Norte
AP,1600550,PRACUÚBA,4655,4779,2.66%,NÃO,Norte
AP,1600600,SANTANA,113854,115471,1.42%,NÃO,Norte
AP,1600709,TARTARUGALZINHO,15665,16112,2.85%,NÃO,Norte
AP,1600808,VITÓRIA DO JARI,14680,14991,2.12%,NÃO,Norte
TO,1700251,ABREULÂNDIA,2555,2571,0.63%,NÃO,Norte
TO,1700301,AGUIARNÓPOLIS,6307,6460,2.43%,NÃO,Norte
TO,1700350,ALIANÇA DO TOCANTINS,5565,5527,-0.68%,NÃO,Norte
TO,1700400,ALMAS,7340,7273,-0.91%,NÃO,Norte
TO,1700707,ALVORADA,8526,8516,-0.12%,NÃO,Norte
TO,1701002,ANANÁS,9798,9749,-0.50%,NÃO,Norte
TO,1701051,ANGICO,3401,3423,0.65%,NÃO,Norte
TO,1701101,APARECIDA DO RIO NEGRO,4672,4726,1.16%,NÃO,Norte
TO,1701309,ARAGOMINAS,5887,5865,-0.37%,NÃO,Norte
TO,1701903,ARAGUACEMA,6934,7003,1.00%,NÃO,Norte
TO,1702000,ARAGUAÇU,8734,8692,-0.48%,NÃO,Norte
TO,1702109,ARAGUAÍNA,173112,175960,1.65%,NÃO,Norte
TO,1702158,ARAGUANÃ,5581,5645,1.15%,NÃO,Norte
TO,1702208,ARAGUATINS,34810,35216,1.17%,NÃO,Norte
TO,1702307,ARAPOEMA,6777,6756,-0.31%,NÃO,Norte
TO,1702406,ARRAIAS,10752,10727,-0.23%,NÃO,Norte
TO,1702554,AUGUSTINÓPOLIS,17861,18089,1.28%,NÃO,Norte
TO,1702703,AURORA DO TOCANTINS,3709,3735,0.70%,NÃO,Norte
TO,1702901,AXIXÁ DO TOCANTINS,9741,9776,0.36%,NÃO,Norte
TO,1703008,BABAÇULÂNDIA,10744,10752,0.07%,NÃO,Norte
TO,1703057,BANDEIRANTES DO TOCANTINS,3460,3500,1.16%,NÃO,Norte
TO,1703073,BARRA DO OURO,4503,4544,0.91%,NÃO,Norte
TO,1703107,BARROLÂNDIA,5622,5643,0.37%,NÃO,Norte
TO,1703206,BERNARDO SAYÃO,4525,4518,-0.15%,NÃO,Norte
TO,1703305,BOM JESUS DO TOCANTINS,4590,4700,2.40%,NÃO,Norte
TO,1703602,BRASILÂNDIA DO TOCANTINS,2188,2199,0.50%,NÃO,Norte
TO,1703701,BREJINHO DE NAZARÉ,5475,5499,0.44%,NÃO,Norte
TO,1703800,BURITI DO TOCANTINS,10988,11135,1.34%,NÃO,Norte
TO,1703826,CACHOEIRINHA,2266,2276,0.44%,NÃO,Norte
TO,1703842,CAMPOS LINDOS,9604,9795,1.99%,NÃO,Norte
TO,1703867,CARIRI DO TOCANTINS,4238,4296,1.37%,NÃO,Norte
TO,1703883,CARMOLÂNDIA,2531,2555,0.95%,NÃO,Norte
TO,1703891,CARRASCO BONITO,4019,4055,0.90%,NÃO,Norte
