ANO,UF,Município,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
2010,22,DOM INOCÊNCIO,25.05,1.64,70.33,26.8,9.02,39.23,54.71,0.54,20.86,16.09,177.27,9231,834,0.24,0.439,0.756,0.498,0.549
2010,22,ELESBÃO VELOSO,35.87,4.68,70.5,26.3,11.38,19.6,33.64,0.48,12.18,9.23,283.38,14503,1652,0.254,0.45,0.758,0.573,0.58
2010,22,ELISEU MARTINS,21.43,7.08,69.51,29.4,10.42,18.23,38.25,0.57,21.31,14.55,370.7,4643,486,0.304,0.462,0.742,0.616,0.595
2010,22,ESPERANTINA,29.18,3.86,71.15,24.4,7.78,18.75,37.61,0.51,14.81,10.55,293.39,37714,2938,0.351,0.497,0.769,0.579,0.605
2010,22,FARTURA DO PIAUÍ,33.07,3.79,69.25,30.2,8.49,36.24,52.85,0.52,17.59,13.93,186.85,5055,431,0.242,0.441,0.738,0.506,0.548
2010,22,FLORES DO PIAUÍ,32.22,3.94,67.26,37.1,8.47,35.07,54.18,0.57,22.22,16.43,210.02,4362,370,0.249,0.443,0.704,0.525,0.547
2010,22,FLORESTA DO PIAUÍ,40.51,3.22,70.2,27.2,9.27,35.1,48.47,0.51,18.67,13.64,216.87,2482,230,0.232,0.391,0.753,0.53,0.538
2010,22,FLORIANO,13.18,9.61,73.13,19.1,7.78,6.56,18.98,0.55,16.78,11.22,536.3,57242,4491,0.562,0.633,0.802,0.676,0.7
2010,22,FRANCINÓPOLIS,34.26,3.65,68.31,33.3,10.43,36.88,50.52,0.56,22.63,18.4,206.73,5229,546,0.3,0.475,0.722,0.523,0.564
2010,22,FRANCISCO AYRES,30.18,2.25,70.38,26.7,11.06,26.45,39.79,0.52,17.58,12.98,268.41,4472,495,0.302,0.45,0.756,0.565,0.577
2010,22,FRANCISCO MACEDO,36.33,3.11,67.06,37.8,7.92,26.1,37.41,0.5,14.72,11.2,273.23,2848,228,0.219,0.425,0.701,0.567,0.553
2010,22,FRANCISCO SANTOS,27.99,4.82,70.21,27.2,7.73,17.5,34.37,0.51,14.8,10.71,330.49,8576,664,0.304,0.498,0.754,0.598,0.608
2010,22,FRONTEIRAS,29.05,6.74,69.86,28.3,8.11,18.62,31.94,0.56,18.98,12.65,380.62,11052,902,0.341,0.511,0.748,0.621,0.619
2010,22,GEMINIANO,34.95,1.24,70.32,26.9,7.74,23.21,42.66,0.46,10.98,8.47,208.67,5475,424,0.266,0.446,0.755,0.524,0.561
2010,22,GILBUÉS,23.0,5.56,70.18,27.3,7.07,37.16,53.13,0.68,55.73,36.24,285.45,10372,735,0.309,0.38,0.753,0.574,0.548
