id,nome,meio,cidade,uf,estado,regiao,pais,fonte
id1104,TRIBUNA SANJOANENSE,Jornal,São João del Rei,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1105,O SUL DA MATA,Jornal,São João Nepomuceno,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1106,O CALÇADAO,Jornal,São João Nepomuceno,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1107,SAO LOURENÇO JORNAL,Jornal,São Lourenço,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1108,CORREIO DO PAPAGAIO,Jornal,São Lourenço,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1109,JORNAL DO SUDOESTE,Jornal,São Sebastião do Paraíso,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id111,FOLHAO DA BAHIA,Jornal,Alagoinhas,BA,Bahia,Nordeste,Brasil,Secom/PR
id1110,JORNAL NOTICIA DE SETE LAGOAS,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1111,DOMINGO EM CASA,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1112,HOJE CIDADE,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1113,TRIBUNA,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1114,GERAIS JORNAL,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1116,COOPERANDO,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1117,SETE DIAS,Jornal,Sete Lagoas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1118,GAZETA DE SIMONESIA,Jornal,Simonésia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1119,FOLHA REGIONAL,Jornal,Taiobeiras,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id112,GAZETA DOS MUNICIPIOS,Jornal,Alagoinhas,BA,Bahia,Nordeste,Brasil,Secom/PR
id1120,TAIOBEIRAS INFORMA,Jornal,Taiobeiras,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1121,DIARIO DE TEOFILO OTONI,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1122,JORNAL CARTA,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1123,AGORA,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1124,TRIBUNA LIVRE,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1125,TRIBUNA DO MUCURI,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1126,LESTE DE MINAS,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1127,PEROLA DO MUCURI,Jornal,Teófilo Otoni,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1128,JORNAL TRES,Jornal,Três Corações,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1129,FOLHA DO SUL DE MINAS GERAIS,Jornal,Três Corações,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id113,FOLHA DOS MUNICIPIOS,Jornal,Araci,BA,Bahia,Nordeste,Brasil,Secom/PR
id1130,BURITI,Jornal,Três Marias,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1131,O SERTANEJO,Jornal,Três Marias,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1132,CORREIO TRESPONTANO,Jornal,Três Pontas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1133,O INDEPENDENTE,Jornal,Tupaciguara,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1134,CORREIO DO VALE,Jornal,Turmalina,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1135,A VOZ,Jornal,Ubá,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1136,GAZETA REGJORNAL,Jornal,Ubá,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1137,O NOTICIARIO,Jornal,Ubá,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1138,JUMBINHO,Jornal,Uberaba,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1139,JORNAL DA MANHA,Jornal,Uberaba,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id114,JORNAL DA REGIAO,Jornal,Baixa Grande,BA,Bahia,Nordeste,Brasil,Secom/PR
id1140,JORNAL DE UBERABA,Jornal,Uberaba,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1141,JORNAL EXPRESSO,Jornal,Uberaba,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1142,CORREIO DE UBERLANDIA,Jornal,Uberlândia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1143,TUDOJA,Jornal,Uberlândia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1144,GAZETA DE UBERLANDIA,Jornal,Uberlândia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1145,DIÁRIO DO COMÉRCIO,Jornal,Uberlândia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1146,JORNAL 10,Jornal,Uberlândia,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1147,VISAO REGIONAL,Jornal,Unaí,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1148,NOROESTE DE MINAS,Jornal,Unaí,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1149,TRIBUNA DE UNAI E REGIAO,Jornal,Unaí,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id115,NOVOESTE,Jornal,Barreiras,BA,Bahia,Nordeste,Brasil,Secom/PR
id1150,SUL DE MINAS,Jornal,Varginha,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1151,GAZETA DE VARGINHA,Jornal,Varginha,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1152,JORNAL PODIUM,Jornal,Varginha,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1153,CORREIO DO SUL,Jornal,Varginha,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1154,TRIBUNA DO POVO REGIONAL,Jornal,Várzea da Palma,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1155,JORNAL DE FATO,Jornal,Vazante,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1156,TRIBUNA DAS GERAIS,Jornal,Vespasiano,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1157,VESPASIANO EM NOTICIAS,Jornal,Vespasiano,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1158,TRIBUNA LIVRE,Jornal,Viçosa,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id116,NOVA FRONTEIRA,Jornal,Barreiras,BA,Bahia,Nordeste,Brasil,Secom/PR
id1160,VOZ DO RIO BRANCO,Jornal,Visconde do Rio Branco,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1165,O PANTANEIRO,Online,Aquidauana,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1166,ARAL MOREIRA NEWS,Online,Aral Moreira,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1167,MS NOTICIAS NEWS,Online,Bataguassu,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1168,MSPONTOCOM,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1169,CORREIO DO ESTADO,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id117,GAZETA DO OESTE,Jornal,Barreiras,BA,Bahia,Nordeste,Brasil,Secom/PR
id1170,MIDIAMAX,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1171,FOLHA DO POVO,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1172,RURAL CENTRO,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1173,O ESTADO MS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1174,MULHER EM DIA,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1175,DIÁRIO DIGITAL,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1176,CAPITAL NEWS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1177,CAMPO GRANDE NEWS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1178,TRUCADÃO,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1179,JORNAL DE DOMINGO,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id118,TRIBUNA DO SERTAO,Jornal,Brumado,BA,Bahia,Nordeste,Brasil,Secom/PR
id1180,JORNAL DO ESTADO MS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1181,AGROIN,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1182,TOP MÍDIA NEWS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1183,ULTIMA NOTÍCIA BRASIL,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1184,FALA MS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1185,RBV NEWS,Online,Campo Grande,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1186,CASSILANDIA NEWS,Online,Cassilândia,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1187,CAPITAL DO PANTANAL,Online,Corumbá,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1188,CORREIO DE CORUMBA,Online,Corumbá,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1189,DIARIO CORUMBAENSE,Online,Corumbá,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id119,FOLHA DO CACAU,Jornal,Camacan,BA,Bahia,Nordeste,Brasil,Secom/PR
id1190,EDIÇÃO MS,Online,Coxim,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1191,COXIM AGORA,Online,Coxim,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1192,PORTAL AGRON,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1193,MS EM FOCO,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
id1194,FOLHA DE DOURADOS,Online,Dourados,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR
