cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
JAÚ,Jornal,352530,5,n/d,SP,São Paulo,Sudeste,Brasil,130260,951.17,0.572,0.778,0.693,0.886,0.768
MOGI GUAÇU,Jornal,353070,5,n/d,SP,São Paulo,Sudeste,Brasil,136821,802.19,0.598,0.774,0.736,0.852,0.74
SÃO JOSÉ DOS CAMPOS,Jornal,354990,5,n/d,SP,São Paulo,Sudeste,Brasil,627707,1190.96,0.703,0.807,0.764,0.855,0.804
TABOÃO DA SERRA,Jornal,355280,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983,812.19,0.653,0.769,0.71,0.863,0.742
CAMPO LARGO,Jornal,410420,5,RM Curitiba,PR,Paraná,Sul,Brasil,111827,749.21,0.528,0.745,0.664,0.854,0.73
LARANJEIRAS DO SUL,Jornal,411330,5,n/d,PR,Paraná,Sul,Brasil,30561,659.33,0.43,0.706,0.594,0.835,0.709
SÃO JOSÉ DOS PINHAIS,Jornal,412550,5,RM Curitiba,PR,Paraná,Sul,Brasil,263194,846.93,0.617,0.758,0.678,0.859,0.749
BIGUAÇU,Jornal,420230,5,n/d,SC,Santa Catarina,Sul,Brasil,58014,764.37,0.58,0.739,0.659,0.836,0.733
IMBITUBA,Jornal,420730,5,n/d,SC,Santa Catarina,Sul,Brasil,39714,768.81,0.592,0.765,0.703,0.868,0.734
NAVEGANTES,Jornal,421130,5,n/d,SC,Santa Catarina,Sul,Brasil,60411,756.39,0.529,0.736,0.624,0.873,0.731
PALMITOS,Jornal,421210,5,n/d,SC,Santa Catarina,Sul,Brasil,15987,887.5,0.435,0.737,0.632,0.836,0.757
XANXERÊ,Jornal,421950,5,n/d,SC,Santa Catarina,Sul,Brasil,43612,906.11,0.593,0.775,0.711,0.861,0.76
ARROIO GRANDE,Jornal,430130,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364,528.13,0.409,0.657,0.522,0.807,0.673
BAGÉ,Jornal,430160,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108,795.56,0.585,0.74,0.647,0.848,0.739
CARAZINHO,Jornal,430470,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825,881.73,0.621,0.766,0.707,0.84,0.756
GRAVATAÍ,Jornal,430920,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,254991,737.29,0.611,0.736,0.636,0.862,0.727
MONTENEGRO,Jornal,431240,5,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,58537,914.23,0.575,0.755,0.654,0.866,0.761
RIO GRANDE,Jornal,431560,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,195482,859.2,0.584,0.744,0.637,0.861,0.752
