cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
NOVA LONDRINA,PR,Sul,2,4117107,13486,14
NOVA MAMORÉ,RO,Norte,1,1100338,28891,3
NOVA MÓDICA,MG,Sudeste,1,3144904,3757,26
NOVA ODESSA,SP,Sudeste,1,3533403,58227,1
NOVA OLINDA,CE,Nordeste,1,2309201,15433,6
NOVA OLÍMPIA,MT,Centro-Oeste,2,5106232,19465,10
NOVA PALMA,RS,Sul,1,4313102,6605,15
NOVA PONTE,MG,Sudeste,2,3145000,14934,13
NOVA PORTEIRINHA,MG,Sudeste,2,3145059,7648,26
NOVA SANTA RITA,RS,Sul,1,4313375,26450,3
NOVA SANTA ROSA,PR,Sul,1,4117222,8186,12
NOVA SOURE,BA,Nordeste,1,2922904,25460,3
NOVA TRENTO,SC,Sul,2,4211504,14099,14
NOVA VENEZA,SC,Sul,2,4211603,14837,13
NOVA VIÇOSA,BA,Nordeste,1,2923001,44052,2
NOVO CRUZEIRO,MG,Sudeste,1,3145307,31884,3
NOVO LINO,AL,Nordeste,1,2705606,12821,7
NOVO ORIENTE,CE,Nordeste,1,2309409,28353,3
NOVO REPARTIMENTO,PA,Norte,1,1505064,73802,1
OLINDINA,BA,Nordeste,1,2923100,29227,3
OLIVEIRA FORTES,MG,Sudeste,1,3145703,2182,45
OLÍMPIO NORONHA,MG,Sudeste,1,3145505,2763,36
ORIENTE,SP,Sudeste,1,3534104,6473,15
ORINDIÚVA,SP,Sudeste,1,3534203,6731,14
ORIZONA,GO,Centro-Oeste,1,5215306,15472,6
OROBÓ,PE,Nordeste,1,2609709,23768,4
ORTIGUEIRA,PR,Sul,2,4117305,23200,8
ORÓS,CE,Nordeste,2,2309508,21292,9
OURICURI,PE,Nordeste,1,2609907,68776,1
OURO,SC,Sul,1,4211801,7363,13
OURO VERDE DE MINAS,MG,Sudeste,1,3146206,6110,16
OURÉM,PA,Norte,1,1505403,17356,5
PACAEMBU,SP,Sudeste,1,3534906,14086,7
PACAJUS,CE,Nordeste,2,2309607,70911,2
PACATUBA,CE,Nordeste,1,2309706,82824,1
PACUJÁ,CE,Nordeste,1,2309904,6202,16
PADRE MARCOS,PI,Nordeste,1,2207207,6758,14
PADRE PARAÍSO,MG,Sudeste,1,3146305,20177,4
PAINEIRAS,MG,Sudeste,1,3146404,4650,21
PAINS,MG,Sudeste,1,3146503,8391,11
PAIVA,MG,Sudeste,1,3146602,1577,63
PALESTINA,SP,Sudeste,1,3535002,12542,7
PALESTINA DE GOIÁS,GO,Centro-Oeste,1,5215652,3514,28
PALMA,MG,Sudeste,1,3146701,6753,14
PALMA SOLA,SC,Sul,1,4212007,7558,13
PALMARES DO SUL,RS,Sul,2,4313656,11449,17
PALMAS,PR,Sul,2,4117602,48990,4
PALMAS DE MONTE ALTO,BA,Nordeste,1,2923407,22553,4
PALMEIRAS,BA,Nordeste,1,2923506,9250,10
PALMEIRAS DE GOIÁS,GO,Centro-Oeste,1,5215702,27304,3
PALMINÓPOLIS,GO,Centro-Oeste,1,5215900,3667,27
PALMITAL,PR,Sul,2,4117800,14189,14
PANCAS,ES,Sudeste,2,3204005,23697,8
PANORAMA,SP,Sudeste,1,3535408,15619,6
PANTANO GRANDE,RS,Sul,1,4313953,9845,10
PARACAMBI,RJ,Sudeste,1,3303609,50447,1
PARACURU,CE,Nordeste,2,2310209,33894,5
PARAIBANO,MA,Nordeste,1,2107704,21116,4
PARAIBUNA,SP,Sudeste,2,3535606,18206,10
PARAISÓPOLIS,MG,Sudeste,2,3147303,20983,9
PARAMBU,CE,Nordeste,1,2310308,31137,3
PARAMIRIM,BA,Nordeste,2,2923605,22286,8
PARANACITY,PR,Sul,1,4118105,11265,8
PARANAIGUARA,GO,Centro-Oeste,1,5216304,9919,10
PARANATINGA,MT,Centro-Oeste,2,5106307,21612,9
PARANHOS,MS,Centro-Oeste,2,5006358,13852,14
PARAOPEBA,MG,Sudeste,1,3147402,24427,4
PARAÍ,RS,Sul,2,4314001,7404,27
PARAÚNA,GO,Centro-Oeste,1,5216403,11221,8
PARELHAS,RN,Nordeste,1,2408904,21669,4
PARIPIRANGA,BA,Nordeste,1,2923803,30075,3
PARIQUERA-AÇU,SP,Sudeste,2,3536208,19537,10
PARNAMIRIM,PE,Nordeste,1,2610400,21383,4
PAROBÉ,RS,Sul,1,4314050,56277,1
PASSA TEMPO,MG,Sudeste,1,3147709,8324,12
PASSAGEM FRANCA,MA,Nordeste,1,2107902,18839,5
PASSO DE CAMARAGIBE,AL,Nordeste,1,2706505,15461,6
PASSO DE TORRES,SC,Sul,1,4212254,8370,11
PASSOS MAIA,SC,Sul,1,4212270,4243,23
PASTOS BONS,MA,Nordeste,2,2108009,19271,10
PATROCÍNIO DO MURIAÉ,MG,Sudeste,1,3148202,5680,17
PATROCÍNIO PAULISTA,SP,Sudeste,2,3536307,14351,13
PAU BRASIL,BA,Nordeste,1,2923902,10673,9
PAUDALHO,PE,Nordeste,1,2610608,55942,1
PAULA CÂNDIDO,MG,Sudeste,2,3148301,9698,20
PAULISTA,PE,Nordeste,1,2610707,328353,0
PAULISTANA,PI,Nordeste,2,2207801,20192,9
PAULISTAS,MG,Sudeste,1,3148400,4982,20
PAULO DE FARIA,SP,Sudeste,1,3536604,8953,11
PAULO FRONTIN,PR,Sul,1,4118709,7360,13
PAULO JACINTO,AL,Nordeste,1,2706604,7679,13
PAULO RAMOS,MA,Nordeste,1,2108108,20657,4
PAVÃO,MG,Sudeste,1,3148509,8709,11
PEDRA AZUL,MG,Sudeste,2,3148707,24748,8
PEDRA BRANCA,CE,Nordeste,1,2310506,42841,2
PEDRA DO ANTA,MG,Sudeste,1,3148806,3270,30
PEDRA DO INDAIÁ,MG,Sudeste,1,3148905,4034,24
PEDRA DOURADA,MG,Sudeste,1,3149002,2452,40
PEDRA PRETA,RN,Nordeste,1,2409605,2532,39
PEDRAS GRANDES,SC,Sul,1,4212403,4026,24
PEDREGULHO,SP,Sudeste,1,3537008,16645,6
PEDRINÓPOLIS,MG,Sudeste,1,3149200,3672,27
PEDRO AFONSO,TO,Norte,1,1716505,13288,7
PEDRO AVELINO,RN,Nordeste,2,2409704,6938,28
PEDRO DE TOLEDO,SP,Sudeste,1,3537206,11136,8
PEDRO GOMES,MS,Centro-Oeste,2,5006408,7683,26
PEDRO OSÓRIO,RS,Sul,2,4314209,7999,25
PEDRO VELHO,RN,Nordeste,1,2409803,14954,6
PEJUÇARA,RS,Sul,1,4314308,4043,24
PENHA,SC,Sul,1,4212502,31025,3
PENTECOSTE,CE,Nordeste,2,2310704,37077,5
PEQUERI,MG,Sudeste,1,3149507,3347,29
PERDIGÃO,MG,Sudeste,1,3149705,10846,9
PERDIZES,MG,Sudeste,1,3149804,15925,6
PERDÕES,MG,Sudeste,2,3149903,21444,9
PERITIBA,SC,Sul,1,4212601,2855,35
PESCADOR,MG,Sudeste,1,3150000,4311,23
PESQUEIRA,PE,Nordeste,2,2610905,66881,2
PETROLINA DE GOIÁS,GO,Centro-Oeste,1,5216809,10548,9
PETROLÂNDIA,PE,Nordeste,1,2611002,36108,2
