id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
8446,Televisão,PREFEITURA MUNICIPAL DE JURUAIA,JURUAIA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7079,Televisão,PREFEITURA MUNICIPAL DE JUSSARA,JUSSARA,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
11274,Televisão,PREFEITURA MUNICIPAL DE LACERDOPOLIS,LACERDÓPOLIS,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
8557,Televisão,PREFEITURA MUNICIPAL DE LADAINHA,LADAINHA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8671,Televisão,PREFEITURA MUNICIPAL DE LADARIO,LADÁRIO,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,MCTIC,0
7829,Televisão,PREFEITURA MUNICIPAL DE LAGAMAR,LAGAMAR,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7350,Televisão,PREFEITURA MUNICIPAL DE LAGO DE PEDRA,LAGO DA PEDRA,n/d,MA,Maranhão,Nordeste,Brasil,MCTIC,0
7405,Televisão,PREFEITURA MUNICIPAL DE LAGO DO JUNCO,LAGO DO JUNCO,n/d,MA,Maranhão,Nordeste,Brasil,MCTIC,0
8194,Televisão,PREFEITURA MUNICIPAL DE LAGOA DA PRATA,LAGOA DA PRATA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
10263,Televisão,PREFEITURA MUNICIPAL DE LAGOA DE VELHOS,LAGOA DE VELHOS,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,MCTIC,0
